#Time	Channel A	Channel B
#(s)	(V)	(V)
#
-4.58091577	0.01831111	-3.75530300
-4.57758177	0.01831111	-3.75530300
-4.57424777	0.01831111	-3.75530300
-4.57091377	0.01831111	-3.75530300
-4.56757977	0.01831111	-3.75530300
-4.56424577	0.01831111	-3.75530300
-4.56091177	0.01831111	-3.75530300
-4.55757777	0.03668325	-3.80108000
-4.55424377	0.01831111	-3.75530300
-4.55090977	0.01831111	-3.80108000
-4.54757577	0.01831111	-3.75530300
-4.54424177	0.01831111	-3.75530300
-4.54090777	0.01831111	-3.75530300
-4.53757377	0.01831111	-3.75530300
-4.53423977	0.01831111	-3.75530300
-4.53090577	0.03668325	-3.75530300
-4.52757177	0.01831111	-3.75530300
-4.52423777	0.03668325	-3.75530300
-4.52090377	0.03668325	-3.75530300
-4.51756977	0.03668325	-3.75530300
-4.51423577	0.03668325	-3.75530300
-4.51090177	0.03668325	-3.75530300
-4.50756777	0.03668325	-3.80108000
-4.50423377	0.03668325	-3.75530300
-4.50089977	0.03668325	-3.75530300
-4.49756577	0.01831111	-3.80108000
-4.49423177	0.03668325	-3.75530300
-4.49089777	0.03668325	-3.75530300
-4.48756377	0.01831111	-3.75530300
-4.48422977	0.03668325	-3.80108000
-4.48089577	0.03668325	-3.75530300
-4.47756177	0.03668325	-3.75530300
-4.47422777	0.03668325	-3.80108000
-4.47089377	0.03668325	-3.75530300
-4.46755977	0.01831111	-3.80108000
-4.46422577	0.03668325	-3.75530300
-4.46089177	0.01831111	-3.75530300
-4.45755777	0.03668325	-3.75530300
-4.45422377	0.03668325	-3.75530300
-4.45088977	0.03668325	-3.80108000
-4.44755577	0.01831111	-3.75530300
-4.44422177	0.01831111	-3.75530300
-4.44088777	0.01831111	-3.75530300
-4.43755377	0.01831111	-3.75530300
-4.43421977	0.01831111	-3.75530300
-4.43088577	0.01831111	-3.75530300
-4.42755177	0.01831111	-3.75530300
-4.42421777	0.01831111	-3.75530300
-4.42088377	0.01831111	-3.75530300
-4.41754977	-0.00006104	-3.75530300
-4.41421577	-0.00006104	-3.75530300
-4.41088177	0.01831111	-3.75530300
-4.40754777	-0.00006104	-3.75530300
-4.40421377	0.01831111	-3.75530300
-4.40087977	0.01831111	-3.75530300
-4.39754577	-0.00006104	-3.75530300
-4.39421177	0.01831111	-3.75530300
-4.39087777	-0.00006104	-3.75530300
-4.38754377	-0.00006104	-3.75530300
-4.38420977	-0.00006104	-3.75530300
-4.38087577	-0.00006104	-3.75530300
-4.37754177	-0.00006104	-3.75530300
-4.37420777	-0.00006104	-3.80108000
-4.37087377	-0.00006104	-3.75530300
-4.36753977	-0.00006104	-3.75530300
-4.36420577	-0.00006104	-3.75530300
-4.36087177	-0.00006104	-3.75530300
-4.35753777	-0.00006104	-3.75530300
-4.35420377	-0.00006104	-3.75530300
-4.35086977	-0.00006104	-3.75530300
-4.34753577	-0.00006104	-3.80108000
-4.34420177	-0.00006104	-3.80108000
-4.34086777	-0.00006104	-3.75530300
-4.33753377	-0.00006104	-3.75530300
-4.33419977	-0.00006104	-3.75530300
-4.33086577	-0.00006104	-3.75530300
-4.32753177	-0.00006104	-3.75530300
-4.32419777	-0.00006104	-3.75530300
-4.32086377	-0.00006104	-3.75530300
-4.31752977	-0.00006104	-3.75530300
-4.31419577	-0.00006104	-3.75530300
-4.31086177	-0.00006104	-3.75530300
-4.30752777	-0.00006104	-3.75530300
-4.30419377	0.01831111	-3.75530300
-4.30085977	-0.00006104	-3.80108000
-4.29752577	-0.00006104	-3.75530300
-4.29419177	-0.00006104	-3.75530300
-4.29085777	-0.00006104	-3.75530300
-4.28752377	-0.00006104	-3.75530300
-4.28418977	-0.00006104	-3.75530300
-4.28085577	-0.00006104	-3.75530300
-4.27752177	-0.00006104	-3.80108000
-4.27418777	-0.00006104	-3.75530300
-4.27085377	-0.00006104	-3.75530300
-4.26751977	-0.00006104	-3.75530300
-4.26418577	-0.00006104	-3.75530300
-4.26085177	-0.00006104	-3.75530300
-4.25751777	-0.00006104	-3.75530300
-4.25418377	-0.00006104	-3.75530300
-4.25084977	-0.00006104	-3.80108000
-4.24751577	-0.00006104	-3.75530300
-4.24418177	-0.01843318	-3.80108000
-4.24084777	-0.00006104	-3.75530300
-4.23751377	-0.00006104	-3.75530300
-4.23417977	-0.00006104	-3.75530300
-4.23084577	-0.01843318	-3.75530300
-4.22751177	-0.01843318	-3.75530300
-4.22417777	-0.00006104	-3.75530300
-4.22084377	-0.00006104	-3.75530300
-4.21750977	-0.00006104	-3.75530300
-4.21417577	-0.00006104	-3.75530300
-4.21084177	-0.00006104	-3.75530300
-4.20750777	-0.00006104	-3.75530300
-4.20417377	-0.00006104	-3.75530300
-4.20083977	-0.00006104	-3.75530300
-4.19750577	-0.00006104	-3.75530300
-4.19417177	-0.00006104	-3.75530300
-4.19083777	-0.00006104	-3.75530300
-4.18750377	-0.00006104	-3.75530300
-4.18416977	-0.00006104	-3.80108000
-4.18083577	0.01831111	-3.80108000
-4.17750177	-0.00006104	-3.80108000
-4.17416777	-0.00006104	-3.75530300
-4.17083377	0.01831111	-3.75530300
-4.16749977	0.01831111	-3.80108000
-4.16416577	-0.00006104	-3.80108000
-4.16083177	0.01831111	-3.75530300
-4.15749777	-0.00006104	-3.75530300
-4.15416377	-0.00006104	-3.75530300
-4.15082977	-0.00006104	-3.75530300
-4.14749577	-0.00006104	-3.75530300
-4.14416177	-0.00006104	-3.75530300
-4.14082777	0.01831111	-3.75530300
-4.13749377	-0.00006104	-3.75530300
-4.13415977	0.01831111	-3.75530300
-4.13082577	-0.00006104	-3.75530300
-4.12749177	-0.00006104	-3.75530300
-4.12415777	-0.00006104	-3.75530300
-4.12082377	-0.00006104	-3.75530300
-4.11748977	-0.00006104	-3.75530300
-4.11415577	-0.00006104	-3.75530300
-4.11082177	-0.00006104	-3.75530300
-4.10748777	0.01831111	-3.75530300
-4.10415377	-0.00006104	-3.75530300
-4.10081977	-0.00006104	-3.75530300
-4.09748577	0.01831111	-3.75530300
-4.09415177	-0.00006104	-3.75530300
-4.09081777	0.01831111	-3.75530300
-4.08748377	-0.00006104	-3.75530300
-4.08414977	-0.00006104	-3.75530300
-4.08081577	-0.00006104	-3.75530300
-4.07748177	-0.00006104	-3.80108000
-4.07414777	-0.00006104	-3.75530300
-4.07081377	-0.00006104	-3.75530300
-4.06747977	-0.00006104	-3.75530300
-4.06414577	-0.00006104	-3.80108000
-4.06081177	-0.00006104	-3.75530300
-4.05747777	-0.00006104	-3.75530300
-4.05414377	-0.00006104	-3.75530300
-4.05080977	-0.00006104	-3.80108000
-4.04747577	-0.00006104	-3.75530300
-4.04414177	-0.00006104	-3.75530300
-4.04080777	-0.00006104	-3.75530300
-4.03747377	-0.00006104	-3.80108000
-4.03413977	0.01831111	-3.75530300
-4.03080577	-0.00006104	-3.75530300
-4.02747177	-0.00006104	-3.75530300
-4.02413777	0.01831111	-3.75530300
-4.02080377	-0.00006104	-3.75530300
-4.01746977	-0.00006104	-3.80108000
-4.01413577	0.01831111	-3.75530300
-4.01080177	-0.00006104	-3.75530300
-4.00746777	0.01831111	-3.75530300
-4.00413377	-0.00006104	-3.75530300
-4.00079977	0.01831111	-3.75530300
-3.99746577	0.01831111	-3.75530300
-3.99413177	0.01831111	-3.75530300
-3.99079777	-0.00006104	-3.75530300
-3.98746377	-0.00006104	-3.75530300
-3.98412977	-0.00006104	-3.75530300
-3.98079577	-0.00006104	-3.75530300
-3.97746177	-0.00006104	-3.75530300
-3.97412777	-0.00006104	-3.75530300
-3.97079377	-0.00006104	-3.75530300
-3.96745977	-0.00006104	-3.75530300
-3.96412577	-0.00006104	-3.75530300
-3.96079177	-0.00006104	-3.75530300
-3.95745777	-0.00006104	-3.75530300
-3.95412377	-0.00006104	-3.75530300
-3.95078977	-0.00006104	-3.80108000
-3.94745577	-0.00006104	-3.75530300
-3.94412177	-0.00006104	-3.75530300
-3.94078777	-0.00006104	-3.75530300
-3.93745377	-0.00006104	-3.75530300
-3.93411977	-0.00006104	-3.75530300
-3.93078577	-0.00006104	-3.75530300
-3.92745177	-0.00006104	-3.75530300
-3.92411777	-0.00006104	-3.75530300
-3.92078377	-0.00006104	-3.75530300
-3.91744977	-0.00006104	-3.75530300
-3.91411577	-0.00006104	-3.75530300
-3.91078177	-0.00006104	-3.75530300
-3.90744777	-0.01843318	-3.75530300
-3.90411377	-0.01843318	-3.75530300
-3.90077977	-0.00006104	-3.80108000
-3.89744577	-0.00006104	-3.75530300
-3.89411177	-0.00006104	-3.75530300
-3.89077777	-0.01843318	-3.75530300
-3.88744377	-0.00006104	-3.80108000
-3.88410977	-0.00006104	-3.75530300
-3.88077577	-0.00006104	-3.75530300
-3.87744177	-0.00006104	-3.75530300
-3.87410777	-0.00006104	-3.75530300
-3.87077377	-0.00006104	-3.75530300
-3.86743977	-0.00006104	-3.75530300
-3.86410577	-0.00006104	-3.75530300
-3.86077177	-0.00006104	-3.75530300
-3.85743777	-0.00006104	-3.75530300
-3.85410377	-0.00006104	-3.75530300
-3.85076977	-0.00006104	-3.75530300
-3.84743577	-0.00006104	-3.75530300
-3.84410177	-0.00006104	-3.75530300
-3.84076777	-0.00006104	-3.75530300
-3.83743377	-0.00006104	-3.75530300
-3.83409977	-0.00006104	-3.75530300
-3.83076577	-0.00006104	-3.80108000
-3.82743177	-0.00006104	-3.75530300
-3.82409777	-0.00006104	-3.80108000
-3.82076377	-0.00006104	-3.80108000
-3.81742977	-0.00006104	-3.75530300
-3.81409577	-0.00006104	-3.75530300
-3.81076177	-0.00006104	-3.75530300
-3.80742777	-0.00006104	-3.75530300
-3.80409377	-0.00006104	-3.75530300
-3.80075977	-0.00006104	-3.75530300
-3.79742577	-0.00006104	-3.75530300
-3.79409177	-0.00006104	-3.75530300
-3.79075777	-0.00006104	-3.75530300
-3.78742377	-0.00006104	-3.75530300
-3.78408977	-0.00006104	-3.75530300
-3.78075577	-0.00006104	-3.80108000
-3.77742177	-0.00006104	-3.75530300
-3.77408777	-0.00006104	-3.80108000
-3.77075377	-0.00006104	-3.75530300
-3.76741977	-0.00006104	-3.75530300
-3.76408577	-0.00006104	-3.75530300
-3.76075177	-0.00006104	-3.75530300
-3.75741777	-0.00006104	-3.80108000
-3.75408377	-0.00006104	-3.75530300
-3.75074977	-0.00006104	-3.75530300
-3.74741577	-0.00006104	-3.75530300
-3.74408177	-0.00006104	-3.80108000
-3.74074777	-0.00006104	-3.80108000
-3.73741377	-0.00006104	-3.75530300
-3.73407977	-0.00006104	-3.75530300
-3.73074577	-0.00006104	-3.75530300
-3.72741177	-0.00006104	-3.75530300
-3.72407777	-0.00006104	-3.75530300
-3.72074377	-0.00006104	-3.75530300
-3.71740977	0.01831111	-3.75530300
-3.71407577	-0.00006104	-3.75530300
-3.71074177	-0.00006104	-3.75530300
-3.70740777	-0.00006104	-3.75530300
-3.70407377	0.01831111	-3.75530300
-3.70073977	-0.00006104	-3.75530300
-3.69740577	0.01831111	-3.75530300
-3.69407177	-0.00006104	-3.75530300
-3.69073777	0.01831111	-3.75530300
-3.68740377	0.01831111	-3.75530300
-3.68406977	0.01831111	-3.75530300
